siret,montant_ht,montant_ttc,tva_rate,ocr_confidence
12019195284431,10417.72,10417.72,0.0,0.95
78901234567890,1164.5,1397.4,20.0,0.91
88535027172956,44634.3,53561.16,20.0,0.96
97402365176496,55611.11,61172.22,10.0,0.99
15167863995377,11365.61,12502.17,10.0,0.95
17299941293696,51246.2,56370.82,10.0,0.93
89012345678901,1219.2,1463.04,20.0,0.97
78901234567890,1478.3,1773.96,20.0,0.99
45678901234567,1643.05,1733.42,5.5,0.95
75879978923877,8001.98,8802.18,10.0,0.93
90123456789012,57566.15,69079.38,20.0,0.92
78901234567890,511.7,539.84,5.5,0.99
38813963103096,8390.51,9229.56,10.0,0.88
67890123456789,26021.47,31225.76,20.0,0.94
90123456789012,50492.44,60590.93,20.0,0.94
23944072893488,53804.56,56763.81,5.5,0.89
56624049303278,38869.91,42756.9,10.0,0.9
73609720919604,37294.98,44753.98,20.0,0.87
90123456789012,49766.02,59719.22,20.0,0.9
79906330678949,30215.83,36259.0,20.0,0.9
10000000410009,23174.69,27809.63,20.0,0.97
32345678901234,32895.17,39474.2,20.0,0.9
45678901234567,549.1,579.3,5.5,0.91
75983628882791,27296.68,32756.02,20.0,0.9
56789012345678,19815.45,23778.54,20.0,0.94
78901234567890,733.44,880.13,20.0,0.97
45269101250095,46656.51,46656.51,0.0,0.93
15727691015572,8088.92,9706.7,20.0,0.88
50418677962492,25680.51,28248.56,10.0,0.88
78420230500648,35642.1,42770.52,20.0,0.88
35612979364221,30206.56,30206.56,0.0,0.86
67890123456789,18385.36,22062.43,20.0,0.86
11223344556677,81951.61,81951.61,0.0,0.94
83277314310583,57131.08,57131.08,0.0,0.95
67890123456789,37266.98,44720.38,20.0,0.86
89012345678901,3548.63,4258.36,20.0,0.9
90123456789012,66988.56,80386.27,20.0,0.97
10000000410009,27152.13,32582.56,20.0,0.91
14847791487259,53571.99,64286.39,20.0,0.94
90123456789012,41522.85,49827.42,20.0,0.96
44306184100047,4974.28,5969.14,20.0,0.94
10000000410009,19419.78,23303.74,20.0,0.9
12291379846733,6924.74,8309.69,20.0,0.95
56789012345678,23606.73,28328.08,20.0,0.95
61696138143123,794.98,794.98,0.0,0.97
67890123456789,5658.28,6789.94,20.0,0.89
59097344879936,48592.25,58310.7,20.0,0.92
90123456789012,69871.31,83845.57,20.0,0.95
89012345678901,3644.22,4373.06,20.0,0.96
11223344556677,70669.28,70669.28,0.0,0.9
45678901234567,2695.73,2844.0,5.5,0.93
67890123456789,27290.7,32748.84,20.0,0.84
56789012345678,19596.49,23515.79,20.0,0.99
78901234567890,344.7,413.64,20.0,0.99
11223344556677,74890.32,74890.32,0.0,0.9
78901234567890,1421.73,1499.93,5.5,0.99
44306184100047,2103.1,2523.72,20.0,0.97
67890123456789,30373.15,36447.78,20.0,0.94
89012345678901,2410.91,2893.09,20.0,0.96
95860218404924,5397.94,6477.53,20.0,0.89
11223344556677,59359.04,59359.04,0.0,0.92
17815973526590,44653.62,53584.34,20.0,0.9
64015580497868,4056.99,4280.12,5.5,0.96
17618434772817,51003.6,61204.32,20.0,0.94
90123456789012,73089.42,87707.3,20.0,0.98
67890123456789,5265.14,6318.17,20.0,0.9
35576734500858,2549.26,2549.26,0.0,0.91
40464184409002,35535.69,42642.83,20.0,0.92
41013275415976,26813.76,26813.76,0.0,0.97
67890123456789,5265.41,6318.49,20.0,0.88
11223344556677,66047.84,66047.84,0.0,0.9
43562617631898,6902.16,7281.78,5.5,0.99
44306184100047,2983.62,3580.34,20.0,0.89
62039742119094,48489.66,53338.63,10.0,0.98
56789012345678,12193.47,14632.16,20.0,0.97
70110108569624,12663.38,12663.38,0.0,0.96
89012345678901,2828.93,3394.72,20.0,0.95
44306184100047,3231.66,3877.99,20.0,0.99
84443074616782,59232.64,71079.17,20.0,0.92
61714323089731,10839.91,13007.89,20.0,0.99
89012345678901,1739.83,2087.8,20.0,0.92
90640531486052,59242.23,71090.68,20.0,0.91
67854148188844,18161.9,21794.28,20.0,0.9
89012345678901,2948.66,3538.39,20.0,0.96
90123456789012,33224.66,39869.59,20.0,0.91
56789012345678,6275.74,7530.89,20.0,0.97
10000000410009,36129.98,43355.98,20.0,0.89
44306184100047,6620.17,7944.2,20.0,0.96
56789012345678,10959.27,13151.12,20.0,0.95
51938644529370,52043.59,62452.31,20.0,0.92
31961543110007,357.23,428.68,20.0,0.91
53979372276919,1446.57,1591.23,10.0,0.97
32345678901234,68663.28,82395.94,20.0,0.95
10000000410009,45439.51,54527.41,20.0,0.97
44306184100047,2491.0,2989.2,20.0,0.99
72135467070288,21455.55,25746.66,20.0,0.89
89012345678901,3493.9,4192.68,20.0,0.94
78901234567890,146.12,154.16,5.5,0.99
96931149474102,27113.5,28604.74,5.5,0.89
98002273554461,5893.89,7072.67,20.0,0.96
45678901234567,583.7,642.07,10.0,0.96
52616755968110,37148.11,44577.73,20.0,0.92
89012345678901,3257.51,3909.01,20.0,0.92
45678901234567,407.66,448.43,10.0,0.97
10000000410009,46255.94,55507.13,20.0,0.95
32719696311826,839.01,839.01,0.0,0.88
14003960714265,7249.34,7974.27,10.0,0.82
90123456789012,20406.4,24487.68,20.0,0.94
11223344556677,41289.82,41289.82,0.0,0.94
90123456789012,13604.15,16324.98,20.0,0.88
90123456789012,78764.93,94517.92,20.0,0.95
56789012345678,15114.14,18136.97,20.0,0.96
10000000410009,47642.86,57171.43,20.0,0.91
90123456789012,40926.59,49111.91,20.0,0.92
79163522496749,28483.43,30050.02,5.5,0.94
45678901234567,2619.66,2881.63,10.0,0.95
56789012345678,15704.45,18845.34,20.0,0.97
56789012345678,5169.38,6203.26,20.0,0.96
94434755344296,26636.43,29300.07,10.0,0.97
85987932854926,33938.28,37332.11,10.0,0.95
10000000410009,30937.06,37124.47,20.0,0.98
74309763424894,36063.33,39669.66,10.0,0.95
11223344556677,26450.6,26450.6,0.0,0.96
78901234567890,1622.57,1711.81,5.5,0.96
67890123456789,13908.6,16690.32,20.0,0.9
10000000410009,30395.54,36474.65,20.0,0.92
28361442026828,37810.56,45372.67,20.0,0.97
35433191954120,7141.48,7534.26,5.5,0.89
56789012345678,22974.61,27569.53,20.0,0.99
